C 0 1
C peanut_butter peanut
C peanut_butter coffee
C peanut_butter beef
C peanut_butter roasted_peanut
C peanut_butter potato_chip
C peanut_butter pork_liver
C peanut_butter soybean
C peanut_butter popcorn
C peanut_butter roasted_beef
C soybean raw_beef
C soybean mung_bean
C soybean lima_bean
C soybean bean
C soybean peanut_butter
C soybean kidney_bean
C soybean red_bean
C soybean roasted_peanut
C soybean black_bean
C soybean beef
C soybean okra
C soybean black_tea
C soybean red_kidney_bean
C soybean roasted_beef
C pork_liver raw_beef
C pork_liver coffee
C pork_liver peanut_butter
C pork_liver roasted_peanut
C pork_liver beef
C pork_liver beer
C pork_liver roasted_beef
C grape strawberry
C grape muscat_grape
C grape concord_grape
C grape apple
C concord_grape grape
C concord_grape strawberry
C concord_grape apple
C concord_grape muscat_grape
C huckleberry juniper_berry
C huckleberry black_currant
C huckleberry strawberry
C huckleberry elderberry
C huckleberry black_raspberry
C huckleberry blackberry
C huckleberry cranberry
C huckleberry raspberry
C huckleberry blueberry
C huckleberry berry
C juniper_berry huckleberry
C juniper_berry black_currant
C juniper_berry black_raspberry
C juniper_berry elderberry
C juniper_berry strawberry
C juniper_berry blackberry
C juniper_berry cranberry
C juniper_berry raspberry
C juniper_berry blueberry
C juniper_berry berry
C black_currant huckleberry
C black_currant juniper_berry
C black_currant blackberry
C black_currant strawberry
C black_currant black_raspberry
C black_currant blueberry
C black_currant berry
C elderberry huckleberry
C elderberry juniper_berry
C elderberry strawberry
C elderberry black_raspberry
C elderberry berry
C elderberry cranberry
C elderberry raspberry
C elderberry blueberry
C black_raspberry huckleberry
C black_raspberry juniper_berry
C black_raspberry blackberry
C black_raspberry strawberry
C black_raspberry elderberry
C black_raspberry raspberry
C black_raspberry black_currant
C black_raspberry cranberry
C black_raspberry blueberry
C black_raspberry berry
C blackberry huckleberry
C blackberry juniper_berry
C blackberry black_currant
C blackberry strawberry
C blackberry black_raspberry
C blackberry berry
C blackberry raspberry
C blackberry blueberry
C cranberry huckleberry
C cranberry juniper_berry
C cranberry strawberry
C cranberry elderberry
C cranberry black_raspberry
C cranberry blueberry
C cranberry berry
C raspberry huckleberry
C raspberry juniper_berry
C raspberry blackberry
C raspberry strawberry
C raspberry elderberry
C raspberry black_raspberry
C raspberry berry
C raspberry black_tea
C raspberry blueberry
C blueberry huckleberry
C blueberry juniper_berry
C blueberry blackberry
C blueberry strawberry
C blueberry elderberry
C blueberry raspberry
C blueberry black_raspberry
C blueberry black_currant
C blueberry cranberry
C blueberry berry
C berry huckleberry
C berry juniper_berry
C berry blackberry
C berry strawberry
C berry elderberry
C berry raspberry
C berry black_raspberry
C berry blueberry
C berry black_currant
C berry cranberry
C camembert_cheese provolone_cheese
C camembert_cheese cheese
C camembert_cheese sheep_cheese
C camembert_cheese romano_cheese
C camembert_cheese roquefort_cheese
C camembert_cheese emmental_cheese
C camembert_cheese feta_cheese
C camembert_cheese parmesan_cheese
C camembert_cheese cottage_cheese
C camembert_cheese mozzarella_cheese
C camembert_cheese swiss_cheese
C camembert_cheese cream_cheese
C camembert_cheese blue_cheese
C camembert_cheese goat_cheese
C camembert_cheese munster_cheese
C camembert_cheese cheddar_cheese
C camembert_cheese gruyere_cheese
C provolone_cheese camembert_cheese
C provolone_cheese swiss_cheese
C provolone_cheese blue_cheese
C provolone_cheese cheddar_cheese
C provolone_cheese cheese
C provolone_cheese roquefort_cheese
C provolone_cheese sheep_cheese
C provolone_cheese romano_cheese
C provolone_cheese emmental_cheese
C provolone_cheese feta_cheese
C provolone_cheese parmesan_cheese
C provolone_cheese cottage_cheese
C provolone_cheese goat_cheese
C provolone_cheese cream_cheese
C provolone_cheese mozzarella_cheese
C provolone_cheese munster_cheese
C provolone_cheese gruyere_cheese
C cheese camembert_cheese
C cheese swiss_cheese
C cheese blue_cheese
C cheese cheddar_cheese
C cheese provolone_cheese
C cheese gruyere_cheese
C cheese romano_cheese
C cheese roquefort_cheese
C cheese emmental_cheese
C cheese parmesan_cheese
C cheese cottage_cheese
C cheese goat_cheese
C cheese cream_cheese
C cheese mozzarella_cheese
C cheese munster_cheese
C cheese sheep_cheese
C cheese feta_cheese
C sheep_cheese camembert_cheese
C sheep_cheese swiss_cheese
C sheep_cheese blue_cheese
C sheep_cheese cheddar_cheese
C sheep_cheese cheese
C sheep_cheese roquefort_cheese
C sheep_cheese provolone_cheese
C sheep_cheese romano_cheese
C sheep_cheese cream_cheese
C sheep_cheese gruyere_cheese
C sheep_cheese parmesan_cheese
C sheep_cheese cottage_cheese
C sheep_cheese goat_cheese
C sheep_cheese feta_cheese
C sheep_cheese emmental_cheese
C sheep_cheese mozzarella_cheese
C sheep_cheese munster_cheese
C romano_cheese camembert_cheese
C romano_cheese swiss_cheese
C romano_cheese blue_cheese
C romano_cheese cheddar_cheese
C romano_cheese cheese
C romano_cheese roquefort_cheese
C romano_cheese provolone_cheese
C romano_cheese sheep_cheese
C romano_cheese gruyere_cheese
C romano_cheese emmental_cheese
C romano_cheese parmesan_cheese
C romano_cheese cottage_cheese
C romano_cheese goat_cheese
C romano_cheese cream_cheese
C romano_cheese mozzarella_cheese
C romano_cheese munster_cheese
C romano_cheese feta_cheese
C roquefort_cheese camembert_cheese
C roquefort_cheese swiss_cheese
C roquefort_cheese blue_cheese
C roquefort_cheese cheddar_cheese
C roquefort_cheese cheese
C roquefort_cheese provolone_cheese
C roquefort_cheese sheep_cheese
C roquefort_cheese romano_cheese
C roquefort_cheese feta_cheese
C roquefort_cheese emmental_cheese
C roquefort_cheese parmesan_cheese
C roquefort_cheese cottage_cheese
C roquefort_cheese mozzarella_cheese
C roquefort_cheese cream_cheese
C roquefort_cheese goat_cheese
C roquefort_cheese munster_cheese
C roquefort_cheese gruyere_cheese
C emmental_cheese camembert_cheese
C emmental_cheese swiss_cheese
C emmental_cheese blue_cheese
C emmental_cheese cheddar_cheese
C emmental_cheese cheese
C emmental_cheese roquefort_cheese
C emmental_cheese provolone_cheese
C emmental_cheese romano_cheese
C emmental_cheese cream_cheese
C emmental_cheese gruyere_cheese
C emmental_cheese parmesan_cheese
C emmental_cheese cottage_cheese
C emmental_cheese goat_cheese
C emmental_cheese sheep_cheese
C emmental_cheese mozzarella_cheese
C emmental_cheese feta_cheese
C emmental_cheese munster_cheese
C feta_cheese camembert_cheese
C feta_cheese swiss_cheese
C feta_cheese blue_cheese
C feta_cheese cheddar_cheese
C feta_cheese cheese
C feta_cheese roquefort_cheese
C feta_cheese provolone_cheese
C feta_cheese romano_cheese
C feta_cheese cream_cheese
C feta_cheese gruyere_cheese
C feta_cheese parmesan_cheese
C feta_cheese cottage_cheese
C feta_cheese goat_cheese
C feta_cheese sheep_cheese
C feta_cheese mozzarella_cheese
C feta_cheese emmental_cheese
C feta_cheese munster_cheese
C cottage_cheese camembert_cheese
C cottage_cheese swiss_cheese
C cottage_cheese blue_cheese
C cottage_cheese cheddar_cheese
C cottage_cheese cheese
C cottage_cheese roquefort_cheese
C cottage_cheese provolone_cheese
C cottage_cheese romano_cheese
C cottage_cheese cream_cheese
C cottage_cheese gruyere_cheese
C cottage_cheese parmesan_cheese
C cottage_cheese sheep_cheese
C cottage_cheese emmental_cheese
C cottage_cheese goat_cheese
C cottage_cheese mozzarella_cheese
C cottage_cheese munster_cheese
C cottage_cheese feta_cheese
C mozzarella_cheese camembert_cheese
C mozzarella_cheese swiss_cheese
C mozzarella_cheese blue_cheese
C mozzarella_cheese cheddar_cheese
C mozzarella_cheese cheese
C mozzarella_cheese roquefort_cheese
C mozzarella_cheese provolone_cheese
C mozzarella_cheese romano_cheese
C mozzarella_cheese cream_cheese
C mozzarella_cheese gruyere_cheese
C mozzarella_cheese parmesan_cheese
C mozzarella_cheese cottage_cheese
C mozzarella_cheese goat_cheese
C mozzarella_cheese sheep_cheese
C mozzarella_cheese emmental_cheese
C mozzarella_cheese feta_cheese
C mozzarella_cheese munster_cheese
C swiss_cheese camembert_cheese
C swiss_cheese provolone_cheese
C swiss_cheese cheese
C swiss_cheese sheep_cheese
C swiss_cheese cream
C swiss_cheese romano_cheese
C swiss_cheese roquefort_cheese
C swiss_cheese emmental_cheese
C swiss_cheese feta_cheese
C swiss_cheese parmesan_cheese
C swiss_cheese cottage_cheese
C swiss_cheese goat_cheese
C swiss_cheese beer
C swiss_cheese cream_cheese
C swiss_cheese blue_cheese
C swiss_cheese mozzarella_cheese
C swiss_cheese munster_cheese
C swiss_cheese cheddar_cheese
C swiss_cheese gruyere_cheese
C cream_cheese camembert_cheese
C cream_cheese swiss_cheese
C cream_cheese blue_cheese
C cream_cheese cheddar_cheese
C cream_cheese cheese
C cream_cheese roquefort_cheese
C cream_cheese provolone_cheese
C cream_cheese romano_cheese
C cream_cheese sheep_cheese
C cream_cheese emmental_cheese
C cream_cheese feta_cheese
C cream_cheese parmesan_cheese
C cream_cheese cottage_cheese
C cream_cheese goat_cheese
C cream_cheese mozzarella_cheese
C cream_cheese munster_cheese
C cream_cheese gruyere_cheese
C goat_cheese camembert_cheese
C goat_cheese swiss_cheese
C goat_cheese blue_cheese
C goat_cheese cheddar_cheese
C goat_cheese cheese
C goat_cheese roquefort_cheese
C goat_cheese provolone_cheese
C goat_cheese romano_cheese
C goat_cheese cream_cheese
C goat_cheese gruyere_cheese
C goat_cheese parmesan_cheese
C goat_cheese cottage_cheese
C goat_cheese sheep_cheese
C goat_cheese emmental_cheese
C goat_cheese feta_cheese
C goat_cheese mozzarella_cheese
C goat_cheese munster_cheese
C munster_cheese camembert_cheese
C munster_cheese swiss_cheese
C munster_cheese blue_cheese
C munster_cheese cheddar_cheese
C munster_cheese cheese
C munster_cheese roquefort_cheese
C munster_cheese provolone_cheese
C munster_cheese romano_cheese
C munster_cheese cream_cheese
C munster_cheese gruyere_cheese
C munster_cheese parmesan_cheese
C munster_cheese cottage_cheese
C munster_cheese goat_cheese
C munster_cheese sheep_cheese
C munster_cheese mozzarella_cheese
C munster_cheese feta_cheese
C munster_cheese emmental_cheese
C gruyere_cheese camembert_cheese
C gruyere_cheese swiss_cheese
C gruyere_cheese blue_cheese
C gruyere_cheese cheddar_cheese
C gruyere_cheese cheese
C gruyere_cheese roquefort_cheese
C gruyere_cheese provolone_cheese
C gruyere_cheese romano_cheese
C gruyere_cheese beer
C gruyere_cheese cream_cheese
C gruyere_cheese sheep_cheese
C gruyere_cheese emmental_cheese
C gruyere_cheese parmesan_cheese
C gruyere_cheese cottage_cheese
C gruyere_cheese goat_cheese
C gruyere_cheese mozzarella_cheese
C gruyere_cheese munster_cheese
C gruyere_cheese feta_cheese
C cayenne pepper
C cayenne green_bell_pepper
C cayenne black_pepper
C cayenne tabasco_pepper
C cayenne bell_pepper
C cayenne thai_pepper
C pepper cayenne
C pepper thai_pepper
C pepper black_pepper
C pepper green_bell_pepper
C pepper tabasco_pepper
C pepper bell_pepper
C green_bell_pepper cayenne
C green_bell_pepper thai_pepper
C green_bell_pepper black_pepper
C green_bell_pepper pepper
C green_bell_pepper bell_pepper
C green_bell_pepper tabasco_pepper
C black_pepper cayenne
C black_pepper thai_pepper
C black_pepper pepper
C black_pepper green_bell_pepper
C black_pepper tabasco_pepper
C black_pepper bell_pepper
C tabasco_pepper cayenne
C tabasco_pepper thai_pepper
C tabasco_pepper black_pepper
C tabasco_pepper pepper
C tabasco_pepper bell_pepper
C tabasco_pepper green_bell_pepper
C bell_pepper cayenne
C bell_pepper thai_pepper
C bell_pepper black_pepper
C bell_pepper pepper
C bell_pepper mace
C bell_pepper green_bell_pepper
C bell_pepper tabasco_pepper
C bell_pepper black_tea
C thai_pepper cayenne
C thai_pepper pepper
C thai_pepper green_bell_pepper
C thai_pepper black_pepper
C thai_pepper tabasco_pepper
C thai_pepper bell_pepper
C geranium gardenia
C geranium flower
C geranium carnation
C geranium black_tea
C gardenia geranium
C gardenia carnation
C gardenia lavender
C gardenia rose
C gardenia flower
C gardenia orange_flower
C gardenia jasmine
C flower geranium
C flower carnation
C flower lavender
C flower rose
C flower gardenia
C flower jasmine
C flower orange_flower
C carnation geranium
C carnation flower
C carnation orange_flower
C carnation rose
C carnation jasmine
C carnation lavender
C carnation gardenia
C grape_brandy cognac
C melon strawberry
C melon apple
C melon nectarine
C melon durian
C nectarine melon
C nectarine guava
C nectarine strawberry
C nectarine apple
C nectarine mango
C durian melon
C mung_bean kidney_bean
C mung_bean red_bean
C mung_bean black_bean
C mung_bean lima_bean
C mung_bean bean
C mung_bean soybean
C mung_bean red_kidney_bean
C kidney_bean mung_bean
C kidney_bean lima_bean
C kidney_bean bean
C kidney_bean red_bean
C kidney_bean black_bean
C kidney_bean soybean
C kidney_bean red_kidney_bean
C red_bean mung_bean
C red_bean lima_bean
C red_bean bean
C red_bean kidney_bean
C red_bean black_bean
C red_bean soybean
C red_bean red_kidney_bean
C black_bean mung_bean
C black_bean lima_bean
C black_bean bean
C black_bean kidney_bean
C black_bean red_bean
C black_bean soybean
C black_bean red_kidney_bean
C lima_bean mung_bean
C lima_bean kidney_bean
C lima_bean red_bean
C lima_bean black_bean
C lima_bean bean
C lima_bean soybean
C lima_bean red_kidney_bean
C bean mung_bean
C bean lima_bean
C bean kidney_bean
C bean red_bean
C bean black_bean
C bean soybean
C bean red_kidney_bean
C red_kidney_bean mung_bean
C red_kidney_bean lima_bean
C red_kidney_bean bean
C red_kidney_bean kidney_bean
C red_kidney_bean red_bean
C red_kidney_bean black_bean
C red_kidney_bean soybean
C rice brown_rice
C brown_rice rice
C jasmine_tea coffee
C jasmine_tea tea
C jasmine_tea peppermint
C jasmine_tea lemon_peel
C jasmine_tea peppermint_oil
C jasmine_tea black_tea
C jasmine_tea japanese_plum
C jasmine_tea green_tea
C tea coffee
C tea peppermint_oil
C tea jasmine_tea
C tea green_tea
C tea peppermint
C tea japanese_plum
C tea black_tea
C tea lemon_peel
C green_tea coffee
C green_tea vanilla
C green_tea tea
C green_tea peppermint
C green_tea lemon_peel
C green_tea jasmine_tea
C green_tea jasmine
C green_tea peppermint_oil
C green_tea black_tea
C green_tea basil
C green_tea japanese_plum
C okra coffee
C okra soybean
C okra black_tea
C wood coffee
C popcorn coffee
C popcorn peanut_butter
C popcorn roasted_peanut
C squid coffee
C orange_flower carnation
C orange_flower gardenia
C orange_flower jasmine
C orange_flower flower
C rose carnation
C rose gardenia
C rose flower
C jasmine carnation
